Muslim conquest of Egypt,641,654,,AD
Battle of Maserfield,641,641,,AD
Battle of Nihawānd,642,642,,AD
Emperor Taizong's campaign against Goguryeo,644,645,,AD
Battle of Nikiou,646,646,,AD
Umayyad conquest of North Africa,647,709,,AD
Khazar–Arab Wars,650,758,,AD
Battle of Balanjar,652,652,,AD
Battle of That Al-Sawari,655,655,,AD
Battle of the Winwaed,655,655,,AD
Battle of Bassorah,656,656,,AD
First Fitna,656,661,,AD
Battle of Siffin,657,657,,AD
Battle of Hwangsanbeol,660,660,,AD
Battle of Baekgang,663,663,,AD
Battle of Two Rivers,671,671,,AD
Siege of Constantinople,674,678,,AD
Byzantine–Bulgarian Wars,680,1355,,AD
Second Fitna,680,692,,AD
Battle of Ongala,680,680,,AD
Battle of Karbala,680,680,,AD
Battle of al-Harrah,683,683,,AD
Battle of Nechtansmere,685,685,,AD
Battle of Tertry,687,,,AD
Battle of Coronate,689,689,,AD
Battle of Sebastopolis,692,692,,AD
Battle of Varnakert,697,705,,AD
Battle of Tianmenling,698,698,,AD
Battle of Carthage,698,698,,AD
Battle of Anchialus,708,708,,AD
Battle of Guadalete,711,712,,AD
Battle of Compiègne,715,,,AD
Siege of Constantinople,717,718,,AD
Battle of Soissons,718,,,AD
Battle of Toulouse,721,721,,AD
Battle of Covadonga,722,722,,AD
Battle of Balanjar,723,723,,AD
Battle of Marj Ardebil,730,730,,AD
Battle of Mosul,731,731,,AD
Battle of Balanjar,732,732,,AD
Battle of Tours,732,732,,AD
Battle of the Boarn,734,734,,AD
Battle of Narbonne,737,737,,AD
Battle of Akroinon,739,739,,AD
Battle of the Brávellir,750,750,,AD
Battle of the Zab,750,750,,AD
Battle of Talas,751,751,,AD
An Shi Rebellion,16/12/55,17/02/63,,AD
Battle of Yongqiu,756,756,,AD
Battle of Marcellae,756,756,,AD
Battles of Yongqiu and Suiyang,757,757,,AD
Battle of the Rishki Pass,759,759,,AD
Battle of Anchialus,763,763,,AD
Siege of Pavia,773,774,,AD
Battle of Berzitia,774,774,,AD
Battle of Roncevaux Pass,778,778,,AD
Byzantine–Arab Wars,780,1180,,AD
Battle of Marcelae,792,792,,AD
Siege of Trsat,799,799,,AD
Siege of Serdica,809,809,,AD
Battle of Rayy,811,811,,AD
Battle of Pliska,811,811,,AD
Siege of Baghdad,812,813,,AD
Battle of Versinikia,813,813,,AD
Battle of Adrianople,813,813,,AD
Battle of Chalon-sur-Saone,834,,,AD
Battle of Anzen,838,838,,AD
Bulgarian-Serbian Wars,839,1330,,AD
Battle of Fontenay,841,841,,AD
